Z1Alter,Z2Geschlecht,Z3Schule,A1Socialmedia_TikTok,A1Socialmedia_Instagram,A1Socialmedia_Snapchat,A1Socialmedia_Facebook,A1Socialmedia_Whatsapp,A1Socialmedia_Telegramm,A1Socialmedia_Twitch,A2Sicherheitsgefuehl_TagDraussen,A2Sicherheitsgefuehl_AbendNachtDraussen,A2Sicherheitsgefuehl_Internet,A2Sicherheitsgefuehl_Zuhause,A2Sicherheitsgefuehl_Schule,A3Gewalterfahrung_OnlineBelaestigt,A3Gewalterfahrung_NichtOnlineBelaestigt,A3Gewalterfahrung_OnlineBeleidigt,A3Gewalterfahrung_NichtOnlineBeleidigt,A3Gewalterfahrung_OnlineBedroht,A3Gewalterfahrung_NichtOnlineBedroht,A3Gewalterfahrung_VerboteneBilder,A3Gewalterfahrung_KoerperlicheGewalt,B1UnsichrHandlung_meideOrt,B1UnsichrHandlung_nichtAlleine,B1UnsichrHandlung_sprecheEltern,B1UnsichrHandlung_sprecheKolleg,B1UnsichrHandlung_sprecheSchule,B1UnsichrHandlung_sprecheJugendarb,B1UnsichrHandlung_meldePolizei,B1UnsichrHandlung_macheNichts,B2BedrohTaeter_bekannt,B2BedrohTaeter_unbekannt,B2BedrohTaeter_weiblich,B2BedrohTaeter_maennlich,B2BedrohTaeter_JungerWieOpfer,B2BedrohTaeter_GleichAlt,B2BedrohTaeter_AlterWieOpfer,B3BedrohMache_Profil_geloescht,B3BedrohMache_Person_blockiert,B3BedrohMache_online_zurue_beleidigt,B3BedrohMache_Personlich_angesproch,B3BedrohMache_Eltern_gesprochen,B3BedrohMache_LPoderSS_gesprochen,B3BedrohMache_Kollegen_gesprochen,B3BedrohMache_Jugendarbeit_gesprochen,B3BedrohMache_Polizei_gesprochen,B3BedrohMache_nichtsgemacht,B4GewaltTaeter_FamilieVerwandt,B4GewaltTaeter_naheBekannte,B4GewaltTaeter_bekannte,B4GewaltTaeter_unbekannt,B4GewaltTaeter_weiblich,B4GewaltTaeter_männlich,B4GewaltTaeter_jüngerwieich,B4GewaltTaeter_gleichalt,B4GewaltTaeter_älterwieich,B5GewaltMache_mitElterngesprochen,B5GewaltMache_mitKollegengesprochen,B5GewaltMache_mitSSLPgesprochen,B5GewaltMache_mitJugendarbeitgesprochen,B5GewaltMache_beiPolizeigemeldet,B5GewaltMache_zurückgeschlagen_gewehrt,B5GewaltMache_nichtgemacht,E1Konsum_Alkohol,E1Konsum_Tabak,E1Konsum_Cannabis,E1Konsum_sonstiges,D1Bedarf_OrtezumTreffen,D1Bedarf_Jugendraum,D1Bedarf_StelleProbleme,D1Bedarf_InformationBeleidigungBelästigung,D1Bedarf_InformationBedrohungGewalt,D2Angebote_Jugendarbeit,D2Angebote_allgemeinPolizei,D2Angebote_JugenddienstPolizei
17,männlich,FMS/HMS,selten,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,jede Woche,sicher,eher sicher,sicher,sicher,sicher,noch nie,noch nie,mehr als 3 mal,mehr als 3 mal,noch nie,noch nie,mehr als 3 mal,noch nie,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeden Monat,1 mal ausprobiert,1 mal ausprobiert,noch nie,braucht es mehr,braucht es eher weniger,braucht es eher mehr,braucht es eher mehr,braucht es mehr,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,kenne ich nicht
18,weiblich,Berufsschule,mehrmals täglich,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,einmal,noch nie,2-3 mal,2-3 mal,noch nie,noch nie,einmal,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es mehr,braucht es mehr,braucht es eher mehr,braucht es mehr,braucht es mehr,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
14,weiblich,Sekundarschule,keinen Account,keinen Account,keinen Account,keinen Account,keinen Account,keinen Account,keinen Account,sicher,unsicher,eher sicher,sicher,sicher,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,noch nie,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher weniger,braucht es eher mehr,braucht es eher weniger,braucht es eher weniger,kenne ich nicht,kenne ich nicht,kenne ich nicht
19,männlich,Sonstiges,jede Woche,mehrmals täglich,jede Woche,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,sicher,sicher,sicher,noch nie,noch nie,noch nie,einmal,noch nie,noch nie,einmal,noch nie,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(fast) jedes Wochenende,1 mal ausprobiert,noch nie,noch nie,braucht es mehr,braucht es eher mehr,braucht es eher weniger,braucht es eher weniger,braucht es eher mehr,kenne ich nicht,möchte ich <b>nicht im Kontakt sein</b>,kenne ich nicht
16,männlich,Berufswahlschule,jede Woche,mehrmals täglich,mehrmals täglich,selten,mehrmals täglich,jede Woche,einmal pro Tag,sicher,eher sicher,sicher,sicher,sicher,einmal,2-3 mal,mehr als 3 mal,mehr als 3 mal,noch nie,einmal,2-3 mal,einmal,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,(fast) jedes Wochenende,(fast) jedes Wochenende,jeden Monat,noch nie,braucht es mehr,braucht es mehr,braucht es eher mehr,braucht es weniger,braucht es mehr,kenne ich nicht,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>
16,weiblich,Berufswahlschule,mehrmals täglich,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,einmal,einmal,2-3 mal,einmal,noch nie,noch nie,2-3 mal,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,auch regelmässig unter der Woche,mehrmals ausprobiert,noch nie,braucht es mehr,braucht es mehr,braucht es mehr,braucht es eher mehr,braucht es eher mehr,möchte ich nur <b>direkt in Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
15,männlich,Sekundarschule,selten,keinen Account,keinen Account,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,sicher,sicher,sicher,sicher,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,noch nie,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,kenne ich nicht,kenne ich nicht,kenne ich nicht
16,männlich,Gymnasium,keinen Account,mehrmals täglich,selten,selten,mehrmals täglich,keinen Account,jede Woche,eher sicher,eher unsicher,eher sicher,sicher,sicher,einmal,einmal,einmal,mehr als 3 mal,noch nie,einmal,noch nie,noch nie,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,jeden Monat,1 mal ausprobiert,1 mal ausprobiert,noch nie,braucht es mehr,braucht es eher mehr,braucht es eher weniger,braucht es eher mehr,braucht es eher weniger,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>
15,weiblich,Gymnasium,mehrmals täglich,mehrmals täglich,einmal pro Tag,keinen Account,einmal pro Tag,keinen Account,keinen Account,sicher,eher sicher,sicher,sicher,sicher,noch nie,noch nie,noch nie,einmal,noch nie,noch nie,noch nie,noch nie,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 mal ausprobiert,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,kenne ich nicht,möchte ich <b>nur online in Kontakt sein</b>,kenne ich nicht
16,weiblich,Berufswahlschule,einmal pro Tag,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,selten,eher sicher,eher unsicher,eher sicher,sicher,sicher,2-3 mal,einmal,noch nie,mehr als 3 mal,noch nie,einmal,2-3 mal,2-3 mal,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es mehr,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher mehr,kenne ich nicht,kenne ich nicht,kenne ich nicht
18,weiblich,Berufsschule,mehrmals täglich,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,mehr als 3 mal,einmal,mehr als 3 mal,mehr als 3 mal,2-3 mal,noch nie,2-3 mal,noch nie,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(fast) jedes Wochenende,auch regelmässig unter der Woche,noch nie,noch nie,braucht es mehr,braucht es eher weniger,braucht es weniger,braucht es mehr,braucht es mehr,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>
15,weiblich,Sekundarschule,keinen Account,selten,einmal pro Tag,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,eher unsicher,sicher,sicher,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 mal ausprobiert,noch nie,noch nie,noch nie,braucht es mehr,braucht es eher weniger,braucht es mehr,braucht es mehr,braucht es mehr,kenne ich nicht,möchte ich nur <b>direkt in Kontakt sein</b>,kenne ich nicht
16,männlich,Berufsschule,keinen Account,mehrmals täglich,mehrmals täglich,selten,mehrmals täglich,selten,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,mehr als 3 mal,einmal,mehr als 3 mal,mehr als 3 mal,mehr als 3 mal,2-3 mal,mehr als 3 mal,2-3 mal,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,(fast) jedes Wochenende,auch regelmässig unter der Woche,(fast) jedes Wochenende,mehrmals ausprobiert,braucht es mehr,braucht es eher weniger,braucht es weniger,braucht es weniger,braucht es eher mehr,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>
15,männlich,Sekundarschule,selten,selten,jede Woche,selten,selten,keinen Account,keinen Account,sicher,sicher,sicher,eher sicher,sicher,noch nie,einmal,noch nie,2-3 mal,noch nie,noch nie,noch nie,2-3 mal,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,noch nie,noch nie,noch nie,noch nie,braucht es mehr,braucht es mehr,braucht es mehr,braucht es mehr,braucht es mehr,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>
19,weiblich,Sonstiges,mehrmals täglich,mehrmals täglich,einmal pro Tag,keinen Account,jede Woche,selten,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,noch nie,einmal,noch nie,noch nie,noch nie,noch nie,noch nie,noch nie,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher mehr,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,kenne ich nicht
19,männlich,Gymnasium,mehrmals täglich,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,selten,sicher,eher sicher,eher sicher,sicher,sicher,noch nie,noch nie,mehr als 3 mal,mehr als 3 mal,noch nie,noch nie,mehr als 3 mal,noch nie,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(fast) jedes Wochenende,jeden Monat,jeden Monat,1 mal ausprobiert,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,kenne ich nicht,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>
17,weiblich,Gymnasium,mehrmals täglich,mehrmals täglich,einmal pro Tag,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,2-3 mal,2-3 mal,2-3 mal,2-3 mal,noch nie,noch nie,noch nie,einmal,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es mehr,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es mehr,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>
17,männlich,Berufsschule,keinen Account,mehrmals täglich,keinen Account,keinen Account,mehrmals täglich,keinen Account,selten,sicher,eher sicher,sicher,eher sicher,eher sicher,noch nie,mehr als 3 mal,mehr als 3 mal,mehr als 3 mal,2-3 mal,2-3 mal,mehr als 3 mal,2-3 mal,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher mehr,braucht es mehr,braucht es eher mehr,braucht es eher mehr,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>
17,weiblich,Berufsschule,jede Woche,mehrmals täglich,einmal pro Tag,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,sicher,eher sicher,sicher,sicher,noch nie,noch nie,mehr als 3 mal,einmal,noch nie,noch nie,noch nie,noch nie,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
14,weiblich,Gymnasium,keinen Account,mehrmals täglich,mehrmals täglich,jede Woche,einmal pro Tag,keinen Account,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,noch nie,noch nie,noch nie,einmal,noch nie,noch nie,noch nie,noch nie,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es mehr,braucht es mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
19,männlich,Sonstiges,mehrmals täglich,mehrmals täglich,mehrmals täglich,keinen Account,einmal pro Tag,keinen Account,selten,sicher,eher sicher,sicher,sicher,sicher,2-3 mal,noch nie,mehr als 3 mal,einmal,noch nie,noch nie,noch nie,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher weniger,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>
14,männlich,Sekundarschule,keinen Account,keinen Account,keinen Account,selten,jede Woche,keinen Account,selten,sicher,sicher,sicher,sicher,sicher,noch nie,noch nie,noch nie,mehr als 3 mal,noch nie,noch nie,noch nie,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,noch nie,noch nie,noch nie,noch nie,braucht es weniger,braucht es weniger,braucht es weniger,braucht es weniger,braucht es weniger,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
17,weiblich,Gymnasium,selten,mehrmals täglich,mehrmals täglich,keinen Account,einmal pro Tag,keinen Account,keinen Account,eher unsicher,unsicher,eher unsicher,sicher,sicher,einmal,einmal,noch nie,einmal,noch nie,noch nie,noch nie,noch nie,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeden Monat,mehrmals ausprobiert,noch nie,noch nie,braucht es mehr,braucht es eher mehr,braucht es mehr,braucht es mehr,braucht es mehr,kenne ich nicht,kenne ich nicht,kenne ich nicht
18,weiblich,Gymnasium,keinen Account,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,eher sicher,eher sicher,sicher,sicher,noch nie,einmal,noch nie,mehr als 3 mal,noch nie,einmal,2-3 mal,noch nie,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,(fast) jedes Wochenende,1 mal ausprobiert,mehrmals ausprobiert,noch nie,braucht es mehr,braucht es mehr,braucht es eher mehr,braucht es eher mehr,braucht es eher mehr,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>,möchte ich <b>nur online in Kontakt sein</b>
19,weiblich,Gymnasium,einmal pro Tag,mehrmals täglich,mehrmals täglich,selten,mehrmals täglich,keinen Account,keinen Account,sicher,sicher,sicher,sicher,sicher,noch nie,noch nie,einmal,noch nie,noch nie,noch nie,noch nie,einmal,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,(fast) jedes Wochenende,noch nie,noch nie,noch nie,braucht es mehr,braucht es mehr,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,kenne ich nicht,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
18,weiblich,Gymnasium,keinen Account,keinen Account,keinen Account,keinen Account,mehrmals täglich,keinen Account,selten,sicher,eher sicher,eher sicher,sicher,sicher,einmal,noch nie,noch nie,einmal,noch nie,noch nie,noch nie,noch nie,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,noch nie,noch nie,noch nie,braucht es eher mehr,braucht es eher weniger,braucht es eher mehr,braucht es eher weniger,braucht es eher weniger,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
16,weiblich,Sonstiges,mehrmals täglich,mehrmals täglich,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,keinen Account,sicher,sicher,sicher,sicher,sicher,noch nie,noch nie,noch nie,2-3 mal,noch nie,noch nie,noch nie,noch nie,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mehrmals ausprobiert,1 mal ausprobiert,noch nie,noch nie,braucht es mehr,braucht es mehr,braucht es weniger,braucht es weniger,braucht es mehr,kenne ich nicht,kenne ich nicht,kenne ich nicht
16,männlich,Gymnasium,mehrmals täglich,mehrmals täglich,mehrmals täglich,selten,mehrmals täglich,selten,selten,sicher,sicher,eher sicher,sicher,sicher,noch nie,noch nie,mehr als 3 mal,mehr als 3 mal,mehr als 3 mal,noch nie,noch nie,noch nie,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(fast) jedes Wochenende,mehrmals ausprobiert,1 mal ausprobiert,noch nie,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>,möchte ich <b>nicht im Kontakt sein</b>
15,männlich,Sekundarschule,einmal pro Tag,selten,mehrmals täglich,keinen Account,mehrmals täglich,keinen Account,selten,sicher,sicher,sicher,sicher,sicher,2-3 mal,2-3 mal,mehr als 3 mal,mehr als 3 mal,2-3 mal,2-3 mal,mehr als 3 mal,noch nie,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,noch nie,noch nie,noch nie,noch nie,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,braucht es eher weniger,kenne ich nicht,möchte ich <b>sowohl online wie auch direkt im Kontakt sein</b>,kenne ich nicht
14,männlich,Sekundarschule,mehrmals täglich,einmal pro Tag,jede Woche,selten,mehrmals täglich,keinen Account,jede Woche,sicher,eher sicher,eher sicher,sicher,sicher,einmal,einmal,mehr als 3 mal,mehr als 3 mal,noch nie,noch nie,einmal,einmal,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,noch nie,1 mal ausprobiert,noch nie,noch nie,braucht es mehr,braucht es mehr,braucht es eher mehr,braucht es eher weniger,braucht es eher mehr,kenne ich nicht,kenne ich nicht,möchte ich <b>nicht im Kontakt sein</b>
